URL,Size(kB),No of Outlinks,Content Type
https://www.nytimes.com/by/adam-liptak,639,57,text/html
https://www.nytimes.com/by/charles-m-blow,293,56,text/html
https://www.nytimes.com/2019/01/31/opinion/letters/letters-to-editor-new-york-times-women.html,300,48,text/html
https://www.nytimes.com/wirecutter/health-fitness/medical-supplies/,127,200,text/html
https://www.nytimes.com/wirecutter/health-fitness/personal-care/,236,267,text/html
https://www.nytimes.com/wirecutter/office/printers-scanners/,123,207,text/html
https://www.nytimes.com/wirecutter/electronics/tablets/,161,226,text/html
https://www.nytimes.com/wirecutter/baby-kid/school/,141,214,text/html
https://www.nytimes.com/wirecutter/reviews/best-noise-cancelling-headphones/,721,384,text/html
https://www.nytimes.com/wirecutter/electronics/audio/,251,266,text/html
https://www.nytimes.com/wirecutter/electronics/usb-c/,119,195,text/html
https://www.nytimes.com/wirecutter/gifts/best-gifts-for-mom/,312,271,text/html
https://www.nytimes.com/wirecutter/baby-kid/toys/,188,247,text/html
https://www.nytimes.com/wirecutter/sleep/sheets-bedding/,152,227,text/html
https://www.nytimes.com/wirecutter/sleep/mattresses/,179,234,text/html
https://www.nytimes.com/wirecutter/health-fitness/exercise/,217,264,text/html
https://www.nytimes.com/wirecutter/travel/bags/,130,211,text/html
https://www.nytimes.com/wirecutter/reviews/best-online-flower-delivery/,359,268,text/html
https://www.nytimes.com/wirecutter/gifts/adults/,256,245,text/html
https://www.nytimes.com/wirecutter/reviews/best-portable-generator/,366,260,text/html
https://www.nytimes.com/wirecutter/office/furniture-office/,117,194,text/html
https://www.nytimes.com/wirecutter/outdoors/hiking/,125,214,text/html
https://www.nytimes.com/wirecutter/reviews/best-laptop-under-500/,306,252,text/html
https://www.nytimes.com/wirecutter/electronics/,431,354,text/html
https://www.nytimes.com/wirecutter/money/,211,232,text/html
https://www.nytimes.com/wirecutter/home-garden/,354,319,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/small-appliances/,215,277,text/html
https://www.nytimes.com/wirecutter/how-to-pitch/,93,178,text/html
https://www.nytimes.com/wirecutter/baby-kid/pregnancy-nursing/,122,206,text/html
https://www.nytimes.com/wirecutter/electronics/home-theater/,223,263,text/html
https://www.nytimes.com/wirecutter/gifts/holiday-decorations/,124,204,text/html
https://www.nytimes.com/wirecutter/gifts/,211,234,text/html
https://www.nytimes.com/wirecutter/electronics/tvs/,169,226,text/html
https://www.nytimes.com/wirecutter/reviews/hope-woodworking-leather-fly-swatter-review/amp/,101,51,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/cookware/,162,233,text/html
https://www.nytimes.com/wirecutter/deals/,429,267,text/html
https://www.nytimes.com/wirecutter/electronics/camera-accessories/,148,231,text/html
https://www.nytimes.com/wirecutter/outdoors/apparel/,196,251,text/html
https://www.nytimes.com/wirecutter/electronics/computers/,241,255,text/html
https://www.nytimes.com/wirecutter/sleep/,223,266,text/html
https://www.nytimes.com/wirecutter/sleep/pillows/,113,202,text/html
https://www.nytimes.com/wirecutter/travel/backpacks/,98,188,text/html
https://www.nytimes.com/wirecutter/gifts/kids/,191,232,text/html
https://www.nytimes.com/wirecutter/electronics/networking/,132,210,text/html
https://www.nytimes.com/wirecutter/pets/gear-pets/,150,230,text/html
https://www.nytimes.com/wirecutter/blog/do-bug-zappers-work/,145,221,text/html
https://www.nytimes.com/wirecutter/masthead/,136,245,text/html
https://www.nytimes.com/wirecutter/reviews/best-sheets/,261,249,text/html
https://www.nytimes.com/wirecutter/software/,155,213,text/html
https://www.nytimes.com/wirecutter/electronics/gaming/,194,241,text/html
https://www.nytimes.com/,1024,207,text/html
https://www.nytimes.com/2021/09/20/us/politics/us-travel-ban.html,357,56,text/html
https://www.nytimes.com/wirecutter/reviews/hope-woodworking-leather-fly-swatter-review/,129,196,text/html
https://www.nytimes.com/section/books,542,112,text/html
https://www.nytimes.com/section/arts,624,92,text/html
https://www.nytimes.com/interactive/2021/world/covid-vaccinations-tracker.html,391,161,text/html
https://www.nytimes.com/interactive/2021/world/covid-cases.html,1024,189,text/html
https://www.nytimes.com/international/,1024,208,text/html
https://www.nytimes.com/interactive/2021/us/florida-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2020/us/covid-hospitals-near-you.html,300,158,text/html
https://www.nytimes.com/2021/09/20/opinion/tenure-college-university.html,404,71,text/html
https://www.nytimes.com/interactive/2021/us/tennessee-covid-cases.html,1024,199,text/html
https://www.nytimes.com/2021/09/20/opinion/ransomware-biden-russia.html,341,71,text/html
https://www.nytimes.com/2021/09/20/opinion/sway-kara-swisher-anne-wojcicki.html,893,76,text/html
https://www.nytimes.com/video,412,52,text/html
https://www.nytimes.com/2021/09/14/books/review/the-girls-in-the-wild-fig-tree-nice-lengete.html,305,56,text/html
https://www.nytimes.com/sitemap/,124,203,text/html
https://www.nytimes.com/interactive/2021/us/covid-cases.html,1024,217,text/html
https://www.nytimes.com/live/2021/09/20/world/covid-delta-variant-vaccine?type=styln-live-updates&label=coronavirus%20updates&index=0,952,119,text/html
https://www.nytimes.com/section/world,912,118,text/html
https://www.nytimes.com/2021/09/20/world/europe/russia-election-putin-navalny.html,357,53,text/html
https://www.nytimes.com/wirecutter/reviews/best-laser-printer/,401,264,text/html
https://www.nytimes.com/section/politics,677,70,text/html
https://www.nytimes.com/section/health,807,104,text/html
https://www.nytimes.com/puzzles/spelling-bee,51,40,text/html
https://www.nytimes.com/2021/09/17/arts/television/new-fall-tv-calendar.html,602,43,text/html
https://www.nytimes.com/section/realestate,615,113,text/html
https://www.nytimes.com/international/?action=click&region=Editions&pgtype=Homepage,1024,208,text/html
https://www.nytimes.com/2021/09/20/nyregion/nyc-flooding-infrastructure.html,506,57,text/html
https://www.nytimes.com/2021/09/19/business/china-evergrande-debt-protests.html,426,51,text/html
https://www.nytimes.com/2021/09/17/fashion/can-i-still-dress-all-in-black.html,279,47,text/html
https://www.nytimes.com/privacy/cookie-policy,109,40,text/html
https://www.nytimes.com/interactive/2020/10/23/well/family/screen-time-limits.html,216,44,text/html
https://www.nytimes.com/interactive/2021/us/cdc-mask-guidance-states.html,321,152,text/html
https://www.nytimes.com/puzzles/vertex,108,42,text/html
https://www.nytimes.com/wirecutter/,378,351,text/html
https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png,3,0,image/png
https://www.nytimes.com/2021/09/20/podcasts/the-daily/dixie-fire-wildfires-california.html,562,88,text/html
https://www.nytimes.com/section/nyregion,706,79,text/html
https://www.nytimes.com/2021/09/20/opinion/norm-macdonald-christian-comedy.html,316,57,text/html
https://www.nytimes.com/section/opinion,542,103,text/html
https://www.nytimes.com/2021/09/20/opinion/vaccine-kids-pfizer.html,318,64,text/html
https://www.nytimes.com/2021/09/20/world/asia/myanmar-danny-fenster-jail.html,374,53,text/html
